pk_cliente;nome_cliente;regiao_cliente;pais_cliente
11154;Megan Walker;Northwest;US
11155;Hunter Robinson;Southwest;US
11156;Maria Roberts;Southwest;US
11157;Hannah Long;Northwest;US
11158;Jason Wright;Southwest;US
11159;Brianna Hughes;Southwest;US
11160;Maurice Tang;Southwest;US
11161;Emily Wood;Southwest;US
11162;Chase Cox;Southwest;US
11163;Gabriel Wang;Southwest;US
11164;Devin Brooks;Southwest;US
11165;Jocelyn Alexander;Southwest;US
11166;Ashley Martinez;Northwest;US
11167;Jasmine Barnes;Northwest;US
11168;David Rodriguez;Southwest;US
11169;Bryce Richardson;Southwest;US
11170;Carol Howard;Northwest;US
11171;Jonathan Hill;Southwest;US
11172;Gabrielle Adams;Northwest;US
11173;Sarah Thomas;Northwest;US
11174;Nicholas Robinson;Southwest;US
11175;Luis Wang;Southwest;US
11176;Mason Roberts;Canada;CA
11177;Jose Flores;Southwest;US
11178;Nathan Johnson;Southwest;US
11179;Molly Rodriguez;Southwest;US
11180;April Anand;Southwest;US
11181;Devin Martin;Southwest;US
11182;Stephanie Torres;Northwest;US
11183;Jasmine Lee;Southwest;US
11184;Meghan Hernandez;Southwest;US
11185;Ashley Henderson;Canada;CA
11186;Sarah Price;Southwest;US
11187;Jennifer Cooper;Northwest;US
11188;Catherine Morris;Southwest;US
11189;Lawrence Blanco;Northwest;US
11190;Carson Bryant;Southwest;US
11191;Kristi Perez;Southwest;US
11192;James Brown;Northwest;US
11193;Ian Gray;Northwest;US
11194;Jacqueline Price;Southwest;US
11195;Megan Henderson;Northwest;US
11196;Alfredo Romero;Northwest;US
11197;Andrea Morris;Northwest;US
11198;Brooke Sanders;Southwest;US
11199;Jacqueline Bennett;Southwest;US
11200;Jason Griffin;Canada;CA
11201;Amanda Foster;Southwest;US
11202;Alexia Price;Southwest;US
11203;Luis Diaz;Canada;CA
11204;Destiny Rivera;Northwest;US
11205;Abby Fernandez;Northwest;US
11206;Blake Flores;Northwest;US
11207;Danielle Cox;Northwest;US
11208;Maria Reed;Southwest;US
11209;Allison Evans;Southwest;US
11210;Edward Wood;Southwest;US
11211;Samantha Russell;Canada;CA
11212;Chloe Campbell;Canada;CA
11213;Stephanie Murphy;Northwest;US
11214;Charles Miller;Northwest;US
11215;Ana Perry;Canada;CA
11216;Jasmine Torres;Northwest;US
11217;Natalie Adams;Northwest;US
11218;Olivia Brown;Northwest;US
11219;Charles Cook;Northwest;US
11220;Erica Huang;Southwest;US
11221;Nathan Perry;Southwest;US
11222;Alexandra Rivera;Southwest;US
11223;Hailey Patterson;Canada;CA
11224;Tiffany Li;Northwest;US
11225;Madison Lee;Northwest;US
11226;Sydney Ross;Northwest;US
11227;Marshall Chavez;Southwest;US
11228;Ashley Jones;Southwest;US
11229;Adrian Stewart;Southwest;US
11230;Amber Turner;Southwest;US
11231;Dennis Zhang;Northwest;US
11232;Hailey Bryant;Northwest;US
11233;Todd Li;Southwest;US
11234;Anna Griffin;Southwest;US
11235;Angel Stewart;Northwest;US
11236;Jeremy Butler;Northwest;US
11237;Clarence Anand;Germany;DE
11238;Mayra Prasad;United Kingdom;GB
11239;Latoya Goel;United Kingdom;GB
11240;Anne Hernandez;United Kingdom;GB
11241;Lisa Cai;France;FR
11242;Larry Munoz;France;FR
11243;Robin Alvarez;United Kingdom;GB
11244;Alexis Coleman;United Kingdom;GB
11245;Ricky Vazquez;Germany;DE
11246;Latasha Rubio;Germany;DE
11247;Claudia Zhou;United Kingdom;GB
11248;Tristan Alexander;France;FR
11249;Cindy Patel;Germany;DE
11250;Shannon Liu;United Kingdom;GB
11251;Xavier Long;Canada;CA
11252;Nicholas Thompson;Southwest;US
11253;José Hernandez;Canada;CA
11254;Johnathan Vance;Northwest;US
11255;Colin Lin;Northwest;US
11256;Katelyn Hernandez;Northwest;US
11257;Jacqueline Powell;Southwest;US
11258;Xavier Hill;Southwest;US
11259;Victoria Stewart;Northwest;US
11260;Katelyn Kelly;Southwest;US
11261;Stephanie Collins;Southwest;US
11262;Jennifer Simmons;Canada;CA
11263;Trinity Richardson;Northwest;US
11264;Eduardo Martin;Northwest;US
11265;Elizabeth Jones;Northwest;US
11266;Taylor Howard;Northwest;US
11267;David Diaz;Southwest;US
11268;Katelyn Carter;Southwest;US
11269;Ryan Foster;Southwest;US
11270;Robert Lee;Southwest;US
11271;Danielle Reed;Southwest;US
11272;Lauren Martinez;Southwest;US
11273;Nathan Lal;Southwest;US
11274;Kyle Foster;Northwest;US
11275;Jenny Rai;Southwest;US
11276;Nancy Chapman;Canada;CA
11277;Charles Jackson;Canada;CA
11278;Jonathan Phillips;Northwest;US
11279;Amanda Cook;Northwest;US
11280;Robert Collins;Northwest;US
11281;Megan Barnes;Southwest;US
11282;Christian Thomas;Northwest;US
11283;Arturo Lal;Southwest;US
11284;Theresa Serrano;Southwest;US
11285;Jeremy Anderson;Southwest;US
11286;Hunter Griffin;Southwest;US
11287;Henry Garcia;Canada;CA
11288;Cindy Sanchez;Southwest;US
11289;Maria Carter;Southwest;US
11290;Katelyn Sanchez;Southwest;US
11291;Jenna Wright;Southwest;US
11292;Seth Phillips;Southwest;US
11293;Luke Long;Northwest;US
11294;Dalton Clark;Northwest;US
11295;Taylor Lewis;Southwest;US
11296;Haley Richardson;Northwest;US
11297;Noah Coleman;Southwest;US
11298;Jon Luo;Southwest;US
11299;Orlando Vazquez;Southwest;US
11300;Fernando Barnes;Canada;CA
11301;Cameron Rodriguez;Northwest;US
11302;Spencer Russell;Northwest;US
11303;Julia Coleman;Northwest;US
11304;Julia Garcia;Northwest;US
11305;Sean Evans;Southwest;US
11306;Micah Zhou;Southwest;US
11307;Hunter Rodriguez;Southwest;US
11308;Ian Gonzales;Northwest;US
11309;Victoria Lewis;Northwest;US
11310;Erin Sanders;Southwest;US
11311;Gabrielle Lopez;Northwest;US
11312;Sara Richardson;Northwest;US
11313;Trevor Jenkins;Northwest;US
11314;Mya Flores;Northwest;US
11315;Hailey Ward;Northwest;US
11316;Luke Allen;Canada;CA
11317;Victoria Russell;Northwest;US
11318;Jessica Wilson;Northwest;US
11319;Jade Bailey;Southwest;US
11320;Morgan Hill;Southwest;US
11321;Terrance Raman;Northwest;US
11322;Sydney Garcia;Northwest;US
11323;Jose Patterson;Southwest;US
11324;Zachary Anderson;Southwest;US
11325;Elijah Ross;Northwest;US
11326;Rafael Xie;Southwest;US
11327;Jaime Moreno;Southwest;US
11328;Julian Griffin;Canada;CA
11329;Andy Alvarez;Southwest;US
11330;Ryan Thompson;Canada;CA
11331;Samantha Jenkins;Canada;CA
11332;Deanna Ramos;Germany;DE
11333;Emily Miller;United Kingdom;GB
11334;Nicole Brown;United Kingdom;GB
11335;Carla Raman;Germany;DE
11336;Shaun Raji;France;FR
11337;Jerome Romero;United Kingdom;GB
11338;Frank Navarro;Germany;DE
11339;Dennis She;France;FR
11340;Melody Munoz;France;FR
11341;Randy Zeng;United Kingdom;GB
11342;Marshall Wang;France;FR
11343;Arthur Carlson;United Kingdom;GB
11344;Jessie Jimenez;United Kingdom;GB
11345;Robin Ramos;France;FR
11346;Deanna Gutierrez;France;FR
11347;Roy Navarro;Germany;DE
11348;Shawn Rai;Germany;DE
11349;Mindy Luo;Germany;DE
11350;Cara Zhou;United Kingdom;GB
11351;Anne Ramos;United Kingdom;GB
11352;Raymond Rodriguez;France;FR
11353;Carrie Ortega;United Kingdom;GB
11354;Deanna Suarez;Germany;DE
11355;Roberto Gutierrez;United Kingdom;GB
11356;Terrence Carson;Australia;AU
11357;Ramon Ye;Australia;AU
11358;Cynthia Malhotra;Australia;AU
11359;Jarrod Prasad;Australia;AU
11360;Tyrone Serrano;Australia;AU
11361;Cindy Ramos;Australia;AU
11362;Damien Shan;Australia;AU
11363;Julian Ross;Australia;AU
11364;Jennifer Collins;Australia;AU
11365;Brittney Sun;Australia;AU
11366;Virginia Patel;Australia;AU
11367;Calvin Nara;Australia;AU
11368;Edward Miller;Australia;AU
11369;Ashlee Tang;Australia;AU
11370;Alicia Xu;Australia;AU
11371;Lacey Jai;Australia;AU
11372;Wendy Romero;Australia;AU
11373;Carly Luo;Germany;DE
11374;Jimmy Ortega;Germany;DE
11375;Francisco Martinez;United Kingdom;GB
11376;Lance Vazquez;United Kingdom;GB
11377;David Robinett;Germany;DE
11378;Shannon Liang;France;FR
11379;Gary Vazquez;France;FR
11380;Mitchell Kumar;Germany;DE
11381;Meredith Raman;United Kingdom;GB
11382;Edward Patterson;France;FR
11383;Marie Gill;France;FR
11384;Tiffany Wang;France;FR
11385;Miguel Allen;United Kingdom;GB
11386;Jaclyn Cai;Germany;DE
11387;Megan Ramirez;United Kingdom;GB
11388;Joseph Martin;United Kingdom;GB
11389;Karl Shan;Germany;DE
11390;Christine Raji;France;FR
11391;Lindsay Xie;Germany;DE
11392;Willie Zhao;Germany;DE
11393;Kurt Pal;France;FR
11394;George McDonald;United Kingdom;GB
11395;Beth Gutierrez;Germany;DE
11396;Ian Lopez;Germany;DE
11397;Latoya Shan;France;FR
11398;Colin Nath;United Kingdom;GB
11399;Brenda Mehta;France;FR
11400;Franklin Raji;United Kingdom;GB
11401;Linda Navarro;France;FR
11402;Kelli Cai;France;FR
11403;Nancy Schmidt;France;FR
11404;Megan Taylor;Germany;DE
11405;Bonnie Goel;Germany;DE
11406;Latoya Xu;France;FR
11407;Mario She;Germany;DE
11408;Darren Gill;United Kingdom;GB
11409;Jacqueline Hayes;France;FR
11410;Maurice Goel;France;FR
11411;Devin Ross;Germany;DE
11412;Sydney Bryant;Germany;DE
11413;Megan Stewart;United Kingdom;GB
11414;Ian Richardson;United Kingdom;GB
11415;Randy She;Germany;DE
11416;Katrina Becker;France;FR
11417;Lacey Zheng;France;FR
11418;Rafael Hu;Germany;DE
11419;Kyle Scott;United Kingdom;GB
11420;Jordan Turner;France;FR
11421;Amy Sun;Germany;DE
11422;Dustin Deng;United Kingdom;GB
11423;Jasmine Stewart;Germany;DE
11424;Pamela Garcia;Germany;DE
11425;Ariana Gray;France;FR
11426;Kristopher Mehta;Germany;DE
11427;Desiree Dominguez;Germany;DE
11428;Deanna Perez;Germany;DE
11429;Marco Lopez;France;FR
11430;Casey Yuan;Germany;DE
11431;Bryant Garcia;Germany;DE
11432;Dominique Prasad;France;FR
11433;Maurice Shan;France;FR
11434;Andre Lopez;United Kingdom;GB
11435;Robin Romero;Germany;DE
11436;Taylor Cox;United Kingdom;GB
11437;Alfredo Moreno;France;FR
11438;Jenny Nara;Germany;DE
11439;Janet Munoz;France;FR
11440;Sergio Weber;France;FR
11441;Erika Gomez;France;FR
11442;Joseph Harris;France;FR
11443;Grace Griffin;Australia;AU
11444;Tina Mehta;Australia;AU
11445;Kari Kim;Australia;AU
11446;Bethany Chander;Australia;AU
11447;Jennifer Roberts;Australia;AU
11448;Kyle Patterson;Australia;AU
11449;Alvin Hu;Australia;AU
11450;Brett Mehta;Australia;AU
11451;Ruben Muñoz;Australia;AU
11452;Erika Rubio;Australia;AU
11453;Stanley Malhotra;Australia;AU
11454;Melinda Navarro;Australia;AU
11455;Ross Sanz;Australia;AU
11456;Jon Gao;Australia;AU
11457;Jaime Gutierrez;Australia;AU
11458;Bianca Liu;Australia;AU
11459;Tasha Deng;Australia;AU
11460;Melvin Chande;Australia;AU
11461;Victor Jimenez;Australia;AU
11462;Laura Lin;Australia;AU
11463;Alisha Beck;Australia;AU
11464;Alejandro Huang;Australia;AU
11465;Louis Luo;Australia;AU
11466;Grant Tang;Australia;AU
11467;Arturo Zheng;Australia;AU
11468;Jaclyn Andersen;United Kingdom;GB
11469;Edwin Raji;United Kingdom;GB
11470;Jay Suarez;Germany;DE
11471;Latasha Suarez;France;FR
11472;Kenneth Kumar;Australia;AU
11473;Grace Henderson;France;FR
11474;Melvin Xu;United Kingdom;GB
11475;Cesar Subram;United Kingdom;GB
11476;Erika Navarro;United Kingdom;GB
11477;Tristan Hughes;Germany;DE
11478;Billy Hernandez;France;FR
11479;Darryl Wu;France;FR
11480;Colleen Ma;France;FR
11481;Erica Hu;Germany;DE
11482;Adrienne Torres;United Kingdom;GB
11483;Calvin Chande;France;FR
11484;Erick Sai;Germany;DE
11485;Donald Chandra;United Kingdom;GB
11486;Ariana Rogers;Germany;DE
11487;Morgan Jones;France;FR
11488;Jermaine Lopez;United Kingdom;GB
11489;Deborah Goel;United Kingdom;GB
11490;Danny Rubio;France;FR
11491;Andre Perez;United Kingdom;GB
11492;Terrence Chander;Germany;DE
11493;Dawn Wu;United Kingdom;GB
11494;Jimmy Gutierrez;United Kingdom;GB
11495;Francis Jimenez;Germany;DE
11496;Gary Ortega;United Kingdom;GB
11497;Katrina Nath;United Kingdom;GB
11498;Arturo Sun;Canada;CA
11499;Pedro Vance;Southwest;US
11500;Sarah Simmons;Canada;CA
11501;Brandy Chandra;Canada;CA
11502;Jared Peterson;Canada;CA
11503;Dennis Wu;Southwest;US
11504;Jordan Baker;Southwest;US
11505;Jasmine Powell;Canada;CA
11506;Nicholas Brown;Canada;CA
11507;Isabella Russell;Canada;CA
11508;Elizabeth Wilson;Northwest;US
11509;Roger Harui;Southwest;US
11510;Seth Roberts;Canada;CA
11511;Caleb Perry;Northwest;US
11512;Natalie Campbell;Canada;CA
11513;Alyssa Howard;Canada;CA
11514;Dalton Diaz;Northwest;US
11515;Shannon Huang;Southwest;US
11516;Mya Gonzales;Southwest;US
11517;Katherine Bryant;Southwest;US
11518;Edward Washington;Northwest;US
11519;Jerome Navarro;Canada;CA
11520;Jada Morgan;Canada;CA
11521;Ariana Peterson;Northwest;US
11522;Christian Hughes;Northwest;US
11523;Lucas Taylor;Canada;CA
11524;Alyssa Jackson;Southwest;US
11525;Ariana Cook;Northwest;US
11526;Katherine Diaz;Canada;CA
11527;Jenna Green;Southwest;US
11528;Joan Washington;Southwest;US
11529;Austin Bryant;Northwest;US
11530;Andrew Martinez;Canada;CA
11531;Nina Yuan;Southwest;US
11532;Lauren Miller;Northwest;US
11533;Ebony Gill;Southeast;US
11534;Cameron Lewis;Southwest;US
11535;Devin Nelson;Northwest;US
11536;Logan Chow;Southwest;US
11537;Dakota Ross;Southwest;US
11538;Nicole Taylor;Southwest;US
11539;Justin Washington;Southwest;US
11540;Alberto Navarro;Southwest;US
11541;Aidan Ross;Northwest;US
11542;Alejandro Tang;United Kingdom;GB
11543;Sheena Chande;France;FR
11544;Joel Garcia;Germany;DE
11545;Reginald Dominguez;France;FR
11546;Christine Chande;France;FR
11547;Cindy Sai;France;FR
11548;Raymond Sanchez;United Kingdom;GB
11549;Crystal Liang;United Kingdom;GB
11550;Deb Torres;United Kingdom;GB
11551;Shannon Alvarez;France;FR
11552;Eddie Rubio;Germany;DE
11553;Sharon Luo;United Kingdom;GB
11554;Sydney Simmons;France;FR
11555;Alexandria Henderson;United Kingdom;GB
11556;Lucas Evans;United Kingdom;GB
11557;Felicia Ramos;United Kingdom;GB
11558;Ivan Malhotra;United Kingdom;GB
11559;Frederick Subram;Germany;DE
11560;Whitney Srini;United Kingdom;GB
11561;Briana Dominguez;Germany;DE
11562;Jarrod Gonzalez;Germany;DE
11563;Cesar Srini;United Kingdom;GB
11564;Jorge Liang;Germany;DE
11565;Erik Diaz;United Kingdom;GB
11566;April Shan;France;FR
11567;Carla Perez;Germany;DE
11568;Alexia Foster;United Kingdom;GB
11569;Troy Malhotra;United Kingdom;GB
11570;Kristin Andersen;Germany;DE
11571;Joel Sai;France;FR
11572;Billy Moreno;France;FR
11573;Meagan Subram;United Kingdom;GB
11574;Karla Luo;United Kingdom;GB
11575;Jackson Campbell;United Kingdom;GB
11576;Micah Zhu;France;FR
11577;Janet Serrano;France;FR
11578;Trisha Huang;France;FR
11579;Clayton Beck;United Kingdom;GB
11580;Melvin Raje;United Kingdom;GB
11581;Cindy Jordan;France;FR
11582;Claudia Ma;France;FR
11583;Karla Xu;France;FR
11584;Devin Carter;Germany;DE
11585;Kari Perez;United Kingdom;GB
11586;Alberto Romero;United Kingdom;GB
11587;Kevin Bryant;France;FR
11588;Candace Mehta;France;FR
11589;Ebony Malhotra;United Kingdom;GB
11590;Erika Diaz;France;FR
11591;Stacey Lu;France;FR
11592;Darrell Raji;France;FR
11593;Armando Moreno;France;FR
11594;Corey Goel;France;FR
11595;Sebastian Howard;Germany;DE
11596;Roger Raje;United Kingdom;GB
11597;Janelle Chandra;France;FR
11598;Meredith Ruiz;Germany;DE
11599;Melody Diaz;France;FR
11600;Linda Rubio;France;FR
11601;Ivan Raman;France;FR
11602;Larry Gill;Germany;DE
11603;Geoffrey Gonzalez;United Kingdom;GB
11604;Edgar Sanchez;United Kingdom;GB
11605;Heidi Subram;Germany;DE
11606;Melody Ramos;France;FR
11607;Clinton Moreno;France;FR
11608;Cesar Madan;France;FR
11609;Eugene Ye;United Kingdom;GB
11610;Blake Collins;United Kingdom;GB
11611;Ernest Lin;France;FR
11612;Keith Andersen;United Kingdom;GB
11613;Meredith Prasad;Germany;DE
11614;Katrina Sharma;Germany;DE
11615;Dwayne Navarro;United Kingdom;GB
11616;Casey Nath;United Kingdom;GB
11617;Sean Brooks;Southwest;US
11618;Brian Ramirez;Canada;CA
11619;Sierra Young;Canada;CA
11620;Megan Rodriguez;Northwest;US
11621;Leah She;Northwest;US
11622;Gabriel Allen;Northwest;US
11623;Angela Perry;Southwest;US
11624;Ryan Smith;Southwest;US
11625;Zachary Moore;Southwest;US
11626;Destiny Rogers;Southwest;US
11627;Dalton Gray;Southwest;US
11628;Mariah Wood;Southwest;US
11629;Isaiah Wright;Southwest;US
11630;Haley Powell;Northwest;US
11631;Antonio Bennett;Canada;CA
11632;Alexandra Jenkins;Canada;CA
11633;Thomas Anderson;Northwest;US
11634;Samuel Collins;Northwest;US
11635;Darrell Chande;Southwest;US
11636;Kimberly Cox;Southwest;US
11637;Morgan Hernandez;Southwest;US
11638;Antonio Powell;Southwest;US
11639;Angelica Perry;Southwest;US
11640;Chloe Wilson;Canada;CA
11641;James Chen;Canada;CA
11642;Morgan Hughes;Canada;CA
11643;Naomi Munoz;Northwest;US
11644;Charles Torres;Northwest;US
11645;Gabriella Turner;Northwest;US
11646;Anna Foster;Northwest;US
11647;Randy Wu;Canada;CA
11648;Kevin Scott;Southwest;US
11649;Ian White;Southwest;US
11650;Caleb Hayes;Southwest;US
11651;Patricia Garcia;Canada;CA
11652;Samuel Russell;Canada;CA
11653;Sydney Peterson;Northwest;US
11654;Ariana Sanchez;Southwest;US
11655;Tamara Sharma;Southwest;US
11656;Katelyn Perez;Southwest;US
11657;Megan Cox;Southwest;US
11658;Robert Mitchell;Southwest;US
11659;Miguel Adams;Canada;CA
11660;Miranda Gonzales;Canada;CA
11661;Jeremiah James;Canada;CA
11662;Ethan Kumar;Northwest;US
11663;Seth Williams;Northwest;US
11664;Alyssa Morgan;Southwest;US
11665;Janet Dominguez;Southwest;US
11666;Angel Baker;Southwest;US
11667;Blake Moore;Northwest;US
11668;Jada Collins;Southwest;US
11669;Isabella Simmons;Northwest;US
11670;Jacqueline Perry;Southwest;US
11671;Jessica Brown;Southwest;US
11672;Chad Jai;Southwest;US
11673;Susan Ye;Northwest;US
11674;Morgan Rogers;Southwest;US
11675;Devin Martinez;Northwest;US
11676;Alan Hu;Central;US
11677;Charles Walker;Canada;CA
11678;Johnny Chavez;Northwest;US
11679;Dalton Richardson;Northwest;US
11680;Kaylee Nelson;Northwest;US
11681;Abigail Jones;Northwest;US
11682;Kaitlyn Hall;Northwest;US
11683;Greg Taylor;Southwest;US
11684;Devin Parker;Northwest;US
11685;Jose Griffin;Northwest;US
11686;Luke Edwards;Southwest;US
11687;Cody Torres;Southwest;US
11688;Victoria Morris;Northwest;US
11689;Ian Diaz;Northwest;US
11690;Caroline Butler;Northwest;US
11691;Kaitlyn Wilson;Southwest;US
11692;Caleb Gonzales;Southwest;US
11693;Hailey Diaz;Canada;CA
11694;Jonathon Ortega;Southwest;US
11695;Logan Campbell;Southwest;US
11696;Mackenzie Campbell;Northwest;US
11697;Eduardo Lee;Southwest;US
11698;Jackson Wright;Canada;CA
11699;Chase Peterson;Northwest;US
11700;Xavier Richardson;Southwest;US
11701;David Hayes;Southwest;US
11702;Jenny Zhou;Southwest;US
11703;Kaylee Baker;Southwest;US
11704;Evan Hernandez;Southwest;US
11705;Brooke Richardson;Southwest;US
11706;Blake Perez;Southwest;US
11707;Natalie Cook;Southwest;US
11708;Elizabeth Weisman;Southwest;US
11709;Hailey Collins;Canada;CA
11710;Zoe Ramirez;Southwest;US
11711;Daniel Davis;Canada;CA
11712;Shelby Rogers;Canada;CA
11713;Kyle Zhang;Northwest;US
11714;Alexandria Long;Southwest;US
11715;Chloe Robinson;Southwest;US
11716;Evan Kelly;Southwest;US
11717;Marcus Jones;Northwest;US
11718;Sarah Jones;Northwest;US
11719;Blake Green;Canada;CA
11720;Morgan Morris;Southwest;US
11721;Jennifer Alexander;Southwest;US
11722;Julian Hughes;Northwest;US
11723;Luke Coleman;Canada;CA
11724;Jason Carter;Canada;CA
11725;Jose Li;Northwest;US
11726;Micah Liang;Northwest;US
11727;Benjamin Taylor;Southwest;US
11728;Logan White;Northwest;US
11729;Caleb Campbell;Northwest;US
11730;Emma Torres;Northwest;US
11731;Tanya Gill;Southwest;US
11732;Erick Sanchez;Northeast;US
11733;Kristi Schmidt;Southwest;US
11734;Omar Chen;Southwest;US
11735;Sydney Gray;Northwest;US
11736;Sebastian Sanchez;Southwest;US
11737;Megan Martin;Southwest;US
11738;Elijah Alexander;Canada;CA
11739;Aaron King;Canada;CA
11740;Jan Hall;Canada;CA
11741;Tamara Chander;Southwest;US
11742;Edward Lewis;Southwest;US
11743;Chase Kelly;Southwest;US
11744;Stephanie Campbell;Southwest;US
11745;Allison Gonzalez;Northwest;US
11746;Seth Brooks;Northwest;US
11747;Destiny Davis;Northwest;US
11748;Blake Hill;Canada;CA
11749;Eduardo Jackson;Australia;AU
11750;Latoya She;Australia;AU
11751;Victoria Gonzales;Australia;AU
11752;Lauren Bryant;Australia;AU
11753;Felicia Ortega;Australia;AU
11754;Janet Ortega;Australia;AU
11755;Willie Pal;Australia;AU
